DATE	TOTAL	X
01/01/2001	2017389	0
01/02/2001	1993273	0
01/03/2001	1981006	0
01/04/2001	1910453	0
01/05/2001	1898285	0
01/06/2001	1842556	0
01/07/2001	1835738	0
01/08/2001	1878513	0
01/09/2001	1889185	0
01/10/2001	1940910	0
01/11/2001	1985857	0
01/12/2001	1988716	0
01/01/2002	2075022	0
01/02/2002	2149907	0
01/03/2002	2083103	0
01/04/2002	2060069	0
01/05/2002	2002923	0
01/06/2002	1962963	0
01/07/2002	1961852	0
01/08/2002	1983982	0
01/09/2002	2006785	0
01/10/2002	2064513	0
01/11/2002	2117144	0
01/12/2002	2127018	0
01/01/2003	2185156	0
01/02/2003	2180216	0
01/03/2003	2163499	0
01/04/2003	2104474	0
01/05/2003	2035601	0
01/06/2003	2020367	0
01/07/2003	1995964	0
01/08/2003	2016675	0
01/09/2003	2039630	0
01/10/2003	2096606	0
01/11/2003	2143206	0
01/12/2003	2181248	0
01/01/2004	2232560	0
01/02/2004	2219300	0
01/03/2004	2181546	0
01/04/2004	2162406	0
01/05/2004	2090702	0
01/06/2004	2054113	0
01/07/2004	2014218	0
01/08/2004	2049639	0
01/09/2004	2050513	0
01/10/2004	2075812	0
01/11/2004	2121089	0
01/12/2004	2112714	0
01/01/2005	2176599	0
01/02/2005	2165420	0
01/03/2005	2144835	0
01/04/2005	2095945	0
01/05/2005	2007393	0
01/06/2005	1974860	0
01/07/2005	1989417	0
01/08/2005	2019110	0
01/09/2005	2013286	0
01/10/2005	2052861	0
01/11/2005	2095580	0
01/12/2005	2102937	0
01/01/2006	2171503	0
01/02/2006	2169277	0
01/03/2006	2148530	0
01/04/2006	2075676	0
01/05/2006	2004528	0
01/06/2006	1959754	0
01/07/2006	1954984	0
01/08/2006	1983677	0
01/09/2006	1966166	0
01/10/2006	1992836	0
01/11/2006	2023164	0
01/12/2006	2022873	0
01/01/2007	2082508	0
01/02/2007	2075275	0
01/03/2007	2059451	0
01/04/2007	2023124	0
01/05/2007	1973231	0
01/06/2007	1965869	0
01/07/2007	1970338	0
01/08/2007	2028296	0
01/09/2007	2017363	0
01/10/2007	2048577	0
01/11/2007	2094473	0
01/12/2007	2129547	0
01/01/2008	2261925	0
01/02/2008	2315331	0
01/03/2008	2300975	0
01/04/2008	2338517	0
01/05/2008	2353575	0
01/06/2008	2390424	0
01/07/2008	2426916	0
01/08/2008	2530001	0
01/09/2008	2625368	0
01/10/2008	2818026	0
01/11/2008	2989269	0
01/12/2008	3128963	0
01/01/2009	3327801	0
01/02/2009	3481859	0
01/03/2009	3605402	0
01/04/2009	3644880	0
01/05/2009	3620139	0
01/06/2009	3564889	0
01/07/2009	3544095	0
01/08/2009	3629080	0
01/09/2009	3709447	0
01/10/2009	3808353	0
01/11/2009	3868946	0
01/12/2009	3923603	0
01/01/2010	4048493	0
01/02/2010	4130625	0
01/03/2010	4166613	0
01/04/2010	4142425	0
01/05/2010	4066202	0
01/06/2010	3982368	0
01/07/2010	3908578	0
01/08/2010	3969661	0
01/09/2010	4017763	0
01/10/2010	4085976	0
01/11/2010	4110294	0
01/12/2010	4100073	0
01/01/2011	4231003	0
01/02/2011	4299263	0
01/03/2011	4333669	0
01/04/2011	4269360	0
01/05/2011	4189659	0
01/06/2011	4121801	0
01/07/2011	4079742	0
01/08/2011	4130927	0
01/09/2011	4226744	0
01/10/2011	4360926	0
01/11/2011	4420462	0
01/12/2011	4422359	0
01/01/2012	4599829	0
01/02/2012	4712098	0
01/03/2012	4750867	0
01/04/2012	4744235	0
01/05/2012	4714122	0
01/06/2012	4615269	0
01/07/2012	4587455	0
01/08/2012	4625634	0
01/09/2012	4705279	0
01/10/2012	4833521	0
01/11/2012	4907817	0
01/12/2012	4848723	0
01/01/2013	4980778	0
01/02/2013	5040222	0
01/03/2013	5035243	0
01/04/2013	4989193	0
01/05/2013	4890928	0
01/06/2013	4763680	0
01/07/2013	4698814	0
01/08/2013	4698783	0
01/09/2013	4724355	0
01/10/2013	4811383	0
01/11/2013	4808908	0
01/12/2013	4701338	0
01/01/2014	4814435	0
01/02/2014	4812486	0
01/03/2014	4795866	0
01/04/2014	4684301	0
01/05/2014	4572385	0
01/06/2014	4449701	0
01/07/2014	4419860	0
01/08/2014	4427930	0
01/09/2014	4447650	0
01/10/2014	4526804	0
01/11/2014	4512116	0
01/12/2014	4447711	0
01/01/2015	4525691	0
